order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,discount,order_status
AS0001,2026-01-01,AS-C001,Khach hang AS-C001,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0001,2026-01-01,AS-C001,Khach hang AS-C001,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0002,2026-01-02,AS-C002,Khach hang AS-C002,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0002,2026-01-02,AS-C002,Khach hang AS-C002,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0003,2026-01-03,AS-C003,Khach hang AS-C003,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0003,2026-01-03,AS-C003,Khach hang AS-C003,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0004,2026-01-04,AS-C004,Khach hang AS-C004,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0004,2026-01-04,AS-C004,Khach hang AS-C004,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0005,2026-01-05,AS-C005,Khach hang AS-C005,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0005,2026-01-05,AS-C005,Khach hang AS-C005,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0006,2026-01-06,AS-C006,Khach hang AS-C006,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0006,2026-01-06,AS-C006,Khach hang AS-C006,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0007,2026-01-07,AS-C007,Khach hang AS-C007,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0007,2026-01-07,AS-C007,Khach hang AS-C007,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0008,2026-01-08,AS-C008,Khach hang AS-C008,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0008,2026-01-08,AS-C008,Khach hang AS-C008,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0009,2026-01-09,AS-C009,Khach hang AS-C009,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0009,2026-01-09,AS-C009,Khach hang AS-C009,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0010,2026-01-10,AS-C010,Khach hang AS-C010,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0010,2026-01-10,AS-C010,Khach hang AS-C010,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0011,2026-01-11,AS-C011,Khach hang AS-C011,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0011,2026-01-11,AS-C011,Khach hang AS-C011,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0012,2026-01-12,AS-C012,Khach hang AS-C012,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0012,2026-01-12,AS-C012,Khach hang AS-C012,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0013,2026-01-13,AS-C013,Khach hang AS-C013,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0013,2026-01-13,AS-C013,Khach hang AS-C013,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0014,2026-01-14,AS-C014,Khach hang AS-C014,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0014,2026-01-14,AS-C014,Khach hang AS-C014,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0015,2026-01-15,AS-C015,Khach hang AS-C015,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0015,2026-01-15,AS-C015,Khach hang AS-C015,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0016,2026-01-16,AS-C016,Khach hang AS-C016,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0016,2026-01-16,AS-C016,Khach hang AS-C016,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0017,2026-01-17,AS-C017,Khach hang AS-C017,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0017,2026-01-17,AS-C017,Khach hang AS-C017,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0018,2026-01-18,AS-C018,Khach hang AS-C018,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0018,2026-01-18,AS-C018,Khach hang AS-C018,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0019,2026-01-19,AS-C019,Khach hang AS-C019,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0019,2026-01-19,AS-C019,Khach hang AS-C019,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0020,2026-01-20,AS-C020,Khach hang AS-C020,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0020,2026-01-20,AS-C020,Khach hang AS-C020,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0021,2026-01-21,AS-C021,Khach hang AS-C021,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0021,2026-01-21,AS-C021,Khach hang AS-C021,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0022,2026-01-22,AS-C022,Khach hang AS-C022,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0022,2026-01-22,AS-C022,Khach hang AS-C022,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0023,2026-01-23,AS-C023,Khach hang AS-C023,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0023,2026-01-23,AS-C023,Khach hang AS-C023,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0024,2026-01-24,AS-C024,Khach hang AS-C024,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0024,2026-01-24,AS-C024,Khach hang AS-C024,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0025,2026-01-25,AS-C025,Khach hang AS-C025,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0025,2026-01-25,AS-C025,Khach hang AS-C025,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0026,2026-01-26,AS-C001,Khach hang AS-C001,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0026,2026-01-26,AS-C001,Khach hang AS-C001,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0027,2026-01-27,AS-C002,Khach hang AS-C002,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0027,2026-01-27,AS-C002,Khach hang AS-C002,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0028,2026-01-28,AS-C003,Khach hang AS-C003,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0028,2026-01-28,AS-C003,Khach hang AS-C003,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0029,2026-01-29,AS-C004,Khach hang AS-C004,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0029,2026-01-29,AS-C004,Khach hang AS-C004,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0030,2026-01-30,AS-C005,Khach hang AS-C005,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0030,2026-01-30,AS-C005,Khach hang AS-C005,AS-P002,San pham AS-P002,Danh muc synthetic,1,100000,0,completed
AS0031,2026-01-31,AS-C006,Khach hang AS-C006,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0032,2026-02-01,AS-C007,Khach hang AS-C007,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0033,2026-02-02,AS-C008,Khach hang AS-C008,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0034,2026-02-03,AS-C009,Khach hang AS-C009,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0035,2026-02-04,AS-C010,Khach hang AS-C010,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0036,2026-02-05,AS-C011,Khach hang AS-C011,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0037,2026-02-06,AS-C012,Khach hang AS-C012,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0038,2026-02-07,AS-C013,Khach hang AS-C013,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0039,2026-02-08,AS-C014,Khach hang AS-C014,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0040,2026-02-09,AS-C015,Khach hang AS-C015,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0041,2026-02-10,AS-C016,Khach hang AS-C016,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0042,2026-02-11,AS-C017,Khach hang AS-C017,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0043,2026-02-12,AS-C018,Khach hang AS-C018,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0044,2026-02-13,AS-C019,Khach hang AS-C019,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
AS0045,2026-02-14,AS-C020,Khach hang AS-C020,AS-P001,San pham AS-P001,Danh muc synthetic,1,100000,0,completed
