order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,discount,order_status
CB-O001,2026-06-01,CB-C001,Khach hang gop 001,CB-P001,Ao thun co ban,Thoi trang,1,180000,0,completed
CB-O002,2026-06-02,CB-C002,Khach hang gop 002,CB-P002,Tui tote canvas,Phu kien,1,220000,0,completed
CB-O003,2026-06-03,CB-C003,Khach hang gop 003,CB-P003,Binh nuoc the thao,Gia dung,1,150000,0,completed
CB-O004,2026-06-04,CB-C004,Khach hang gop 004,CB-P004,Tai nghe Bluetooth,Dien tu,1,590000,0,completed
CB-O005,2026-06-05,CB-C005,Khach hang gop 005,CB-P005,Giay chay bo,The thao,2,850000,0,completed
CB-O006,2026-06-06,CB-C006,Khach hang gop 006,CB-P001,Ao thun co ban,Thoi trang,1,180000,50000,completed
CB-O007,2026-06-07,CB-C007,Khach hang gop 007,CB-P002,Tui tote canvas,Phu kien,1,220000,0,completed
CB-O008,2026-06-08,CB-C008,Khach hang gop 008,CB-P003,Binh nuoc the thao,Gia dung,1,150000,0,cancelled
CB-O009,2026-06-09,CB-C009,Khach hang gop 009,CB-P004,Tai nghe Bluetooth,Dien tu,1,590000,0,completed
CB-O010,2026-06-10,CB-C010,Khach hang gop 010,CB-P005,Giay chay bo,The thao,2,850000,0,completed
